"","BasoE.Infected.12","BasoE.Infected.22","BasoE.Infected.31","BasoE.Infected.32"
"PF3D7_1133100",170.577821970839,295.657001767171,275.481445029679,458.080906781317
"PF3D7_1110100",237.144776886289,300.170849122395,308.445036742632,403.361344537815
"PF3D7_1124800",237.144776886289,94.7907944597038,145.981620443078,121.946452999805
"PF3D7_1132200",630.305854355663,604.855545600014,426.172150003179,684.776236075826
"PF3D7_1108600",457.647815043716,523.606293205983,527.417467407249,639.437170216924
"PF3D7_1106200",116.492171102037,124.13080226866,23.5454226521093,82.8610513973031
"PF3D7_1108000",443.086293655961,207.636978340303,169.527043095187,207.934336525308
"PF3D7_1134200",343.235861282787,234.720062471647,367.308593372905,281.414891538011
"PF3D7_1148700",1830.59126017486,1652.06813201198,1292.6437036008,2679.6951338675
"PF3D7_1138700",563.738899440214,670.306332250762,701.653595032858,726.988469806527
"PF3D7_1104400",736.396938752161,956.935639307486,506.22658702035,473.715067422318
"PF3D7_1124300",170.577821970839,196.352359952243,242.517853316726,351.768614422513
"PF3D7_1105300",52.005433527695,90.2769471044798,37.6726762433749,37.5219855384014
"PF3D7_1120200",72.807606938773,115.103107558212,40.0272185085858,71.9171389486027
"PF3D7_1106500",189.29977804081,47.3953972298519,122.436197790968,157.905022474106
"PF3D7_1104100",164.337169947516,128.644649623884,75.3453524867498,59.4098104358022
"PF3D7_1140800",153.936083241977,133.158496979108,176.59066989082,303.302716435411
"PF3D7_1113600",58.2460855510184,106.075412847764,317.863205803476,65.6634746922025
"PF3D7_1105400",2076.05690642558,1534.70810077616,1608.15236713907,1066.24975571624
"PF3D7_1105700",295.390862437307,304.684696477619,348.472255251218,165.722102794606
"PF3D7_1113100",189.29977804081,33.8538551641799,115.372570995336,123.509869063905
"PF3D7_1143800",226.74369018075,223.435444083587,183.654296686453,290.795387922611
"PF3D7_1134500",185.139343358594,557.460148370163,331.990459394741,472.151651358218
"PF3D7_1102400",116.492171102037,115.103107558212,40.0272185085858,254.83681844831
"PF3D7_1145800",156.016300583085,255.032375570155,77.6998947519607,128.200117256205
"PF3D7_1104200",1094.1943214227,956.935639307486,1010.09863177549,1372.67930427985
"PF3D7_1103100",2136.38320931771,3879.65180181502,2451.07849808458,2413.91440297049
"PF3D7_1118500",476.369771113686,507.807827462699,386.144931494593,356.458862614813
"PF3D7_1143300",162.256952606408,112.8461838806,211.908803868984,65.6634746922025
