"","PolyE.Infected.11","PolyE.Infected.12","PolyE.Infected.21","PolyE.Infected.22","PolyE.Infected.31"
"PF3D7_0407700",39.1584957916483,54.6861470875069,43.9916415880983,58.0112280323327,70.0759399634057
"PF3D7_0415200",54.5845698913886,65.6233765050083,119.977204331177,44.1212156865629,77.8143873213279
"PF3D7_0422700",250.37704884963,231.504689337113,125.976064547736,169.948386348242,138.002311216278
"PF3D7_0405700",191.04599461986,191.401514806274,159.969605774903,179.753100945256,164.227049484791
"PF3D7_0415000",128.155077136304,102.08080789668,255.951369239844,233.679031228833,55.0289589896683
"PF3D7_0405500",34.4120114532667,69.2691196441755,99.9810036093142,98.8642055198909,11.1777572947764
"PF3D7_0424800",34.4120114532667,20.0515872654192,11.9977204331177,51.4747516343234,86.4126621634635
"PF3D7_0405200",15.4260740997402,30.9888166829206,17.9965806496766,38.4017988383047,13.3273260053103
"PF3D7_0408200",11.866210845954,40.1031745308384,25.9950609384217,10.6217741467651,26.6546520106206
"PF3D7_0403200",224.271384988531,269.784992298368,203.961247363001,143.802480756205,255.36876281143
"PF3D7_0407200",52.2113277221978,140.361110857935,99.9810036093142,33.4994415397977,75.6648186107939
"PF3D7_0413900",179.179783773906,83.852092200844,153.970745558344,151.973076253717,178.844116716422
"PF3D7_0403100",17.7993162689311,5.4686147087507,33.9935412271668,22.0606078432814,38.6922367896105
"PF3D7_0405000",117.475487374945,129.423881440433,91.9825233205691,133.18070660944,230.003852027129
"PF3D7_0411100",28.4789060302897,36.4574313916713,25.9950609384217,32.6823819900466,20.2059458790188
"PF3D7_0415300",280.042575964515,357.282827638379,317.939591477619,192.008994191524,321.145565353767
"PF3D7_0410600",94.9296867676323,105.726551035847,61.9882222377748,116.022456064665,30.9537894316884
"PF3D7_0415100",43.9049801300299,98.4350647575125,79.9848028874514,49.0235729850699,182.713340395383
"PF3D7_0418700",218.338279565554,497.643938496313,363.930853137904,279.434366014898,162.507394516364
"PF3D7_0416900",230.204490411508,432.020561991305,233.955548445795,278.617306465147,581.243379328371
"PF3D7_0425200",16.6126951843356,21.8744588350028,0,13.0729527960186,30.5238756895816
"PF3D7_0404700",8.30634759216782,36.4574313916713,41.992021515912,26.1459055920373,5.1589649052814
"PF3D7_0422200",388.025094662697,701.805554289673,705.865885481758,646.294103853171,575.224586938877
"PF3D7_0409900",18.9859373535265,25.5202019741699,49.9905018046571,26.9629651417884,26.2247382685138
"PF3D7_0411200",48.6514644684116,96.6121931879289,49.9905018046571,55.5600493830792,125.104898953074
"PF3D7_0420300",1277.99090810925,1908.54653335399,1303.75228706546,1433.12245026354,1226.97381997276
"PF3D7_0406100",875.726360431408,701.805554289673,673.871964326778,620.965257810885,982.782814456108
