"","ProE.Infected.21","ProE.Infected.22","ProE.Infected.31","ProE.Infected.32"
"PF3D7_0726100",806.952203600248,890.037200098509,1400.188108763,538.20908105504
"PF3D7_0727800",401.406993585765,704.252736000277,483.556424658189,176.893893773335
"PF3D7_0709300",293.813366439065,544.391685497146,441.045969743184,259.695290858726
"PF3D7_0709600",173.805090006207,414.774617521635,297.57318440504,210.767192580995
"PF3D7_0708500",91.0407614318229,151.219912638096,114.246847584078,380.133686619294
"PF3D7_0730900",1216.63563004345,1054.21881953416,1509.1211494827,1144.1647597254
"PF3D7_0716200",922.822263604387,622.161926282453,459.644293768499,1076.41816211008
"PF3D7_0708800",1895.3031243534,2389.27461968192,2061.75706337777,1832.92183548115
"PF3D7_0714300",124.146492861577,181.463895165715,188.640143685338,233.349391786101
"PF3D7_0703200",45.5203807159114,51.8468271902044,47.8242617793814,75.2739973503553
"PF3D7_0722500",53.7968135733499,324.042669938778,34.5397446184421,297.332289533903
"PF3D7_0702300",542.106352162218,302.439825276192,302.886991269415,594.664579067807
"PF3D7_0714000",244.154769294434,358.607221398914,207.238467710653,282.277490063832
"PF3D7_0702400",318.64266501138,734.496718527896,204.581564278465,436.589184632061
"PF3D7_0719300",409.683426443203,237.631291288437,669.539664911339,477.989883174756
"PF3D7_0705000",720.049658597145,686.970460270208,571.234237920389,760.267373238588
"PF3D7_0704600",3649.90689013035,3866.90919460275,3355.66903485326,3022.25099361676
"PF3D7_0706500",1320.09104076143,1214.07987003729,1333.7655229583,666.174876550644
"PF3D7_0710600",1431.82288433685,1577.00766036872,895.376456647307,989.853065157172
"PF3D7_0714600",78.6261121456652,64.8085339877555,29.2259377540664,48.9280982777309
"PF3D7_0706400",806.952203600248,1106.06564672436,1163.72370329828,846.832470191497
"PF3D7_0731100",1944.96172149803,1447.39059239321,2287.59385511374,3105.05239070216
"PF3D7_0709000",488.309538588868,475.262582576874,294.916280972852,372.606286884259
"PF3D7_0707900",173.805090006207,142.578774773062,395.87861139599,86.5650969529086
"PF3D7_0722600",368.301262156011,151.219912638096,220.522984871592,131.729495363122
"PF3D7_0723900",235.878336436996,224.669584490886,154.100399066896,790.376972178731
"PF3D7_0703900",1063.52162218084,1589.96936716627,1142.46847584078,794.140672046248
"PF3D7_0704000",322.780881440099,155.540481570613,398.535514828178,346.260387811634
"PF3D7_0716100",446.927374301676,613.520788417419,90.334716694387,459.171383837167
"PF3D7_0719900",926.960480033106,565.994530159731,810.355546817295,1249.5483560159
"PF3D7_0728000",500.724187875026,1348.01750694531,329.456025591294,308.623389136457
"PF3D7_0706000",873.163666459756,427.736324319186,608.430885971018,1328.58605323377
"PF3D7_0708400",10188.2888475067,10205.1838186052,12657.4879509429,7809.67722509936
"PF3D7_0612100",877.301882888475,501.185996171976,409.163128556929,1147.92845959292
"PF3D7_0627700",529.69170287606,851.152079705856,350.711253048797,301.095989401421
"PF3D7_0619500",157.25222429133,64.8085339877555,82.3640063978235,214.530892448513
"PF3D7_0623700",202.772605007242,211.707877693335,53.1380686437571,48.9280982777309
"PF3D7_0602600",227.601903579557,116.65536117796,185.98324025315,176.893893773335
"PF3D7_0622800",1692.53051934616,1499.23741958341,1203.5772547811,1866.79513428881
